Sigma Gauss	Esperanza Poisson	Límite de integración ePix 
 [e]	 [e/pxl]	 [e] 
0.205	0.208835	0.558
0.205	0.197851	0.56
0.205	0.187444	0.562
0.205	0.177584	0.564
0.205	0.168242	0.566
0.205	0.159391	0.568
0.205	0.151005	0.57
0.205	0.14306	0.572
0.205	0.135533	0.574
0.205	0.128402	0.576
0.205	0.121645	0.578
0.205	0.115243	0.58
0.205	0.109178	0.582
0.205	0.103432	0.584
0.205	0.0979877	0.586
0.205	0.0928298	0.588
0.205	0.0879431	0.59
0.205	0.0833133	0.592
0.205	0.0789269	0.594
0.205	0.0747711	0.596
0.205	0.0708339	0.598
0.205	0.0671038	0.6
0.205	0.0635698	0.602
0.205	0.0602216	0.604
0.205	0.0570496	0.606
0.205	0.0540444	0.608
0.205	0.0511972	0.61
0.205	0.0484998	0.612
0.205	0.0459444	0.614
0.205	0.0435233	0.616
0.205	0.0412297	0.618
0.205	0.0390567	0.62
0.205	0.036998	0.622
0.205	0.0350477	0.624
0.205	0.0332	0.626
0.205	0.0314496	0.628
0.205	0.0297913	0.63
0.205	0.0282202	0.632
0.205	0.0267319	0.634
0.205	0.0253219	0.636
0.205	0.0239861	0.638
0.205	0.0227207	0.64
0.205	0.0215219	0.642
0.205	0.0203863	0.644
0.205	0.0193104	0.646
0.205	0.0182912	0.648
0.205	0.0173257	0.65
0.205	0.016411	0.652
0.205	0.0155445	0.654
0.205	0.0147237	0.656
0.205	0.0139461	0.658
0.205	0.0132095	0.66
0.205	0.0125118	0.662
0.205	0.0118508	0.664
0.205	0.0112246	0.666
0.205	0.0106314	0.668
0.205	0.0100695	0.67
0.205	0.00953729	0.672
0.205	0.0090331	0.674
0.205	0.00855549	0.676
0.205	0.00810308	0.678
0.205	0.00767453	0.68
0.205	0.00726858	0.682
0.205	0.00688406	0.684
0.205	0.00651982	0.686
0.205	0.00617481	0.688
0.205	0.005848	0.69
0.205	0.00553844	0.692
0.205	0.00524523	0.694
0.205	0.00496749	0.696
0.205	0.00470442	0.698
0.205	0.00445525	0.7
0.205	0.00421923	0.702
0.205	0.00399568	0.704
0.205	0.00378394	0.706
0.205	0.00358339	0.708
0.205	0.00339343	0.71
0.205	0.00321352	0.712
0.205	0.00304311	0.714
0.205	0.00288172	0.716
0.205	0.00272885	0.718
0.205	0.00258407	0.72
0.205	0.00244695	0.722
0.205	0.00231708	0.724
0.205	0.00219408	0.726
0.205	0.00207759	0.728
0.205	0.00196726	0.73
0.205	0.00186277	0.732
0.205	0.00176382	0.734
0.205	0.0016701	0.736
0.205	0.00158134	0.738
0.205	0.00149729	0.74
0.205	0.00141769	0.742
0.205	0.0013423	0.744
0.205	0.00127091	0.746
0.205	0.0012033	0.748
0.205	0.00113928	0.75
0.205	0.00107865	0.752
0.205	0.00102123	0.754
0.205	0.000966858	0.756
0.205	0.000915371	0.758
0.205	0.000866615	0.76
0.205	0.000820446	0.762
0.205	0.000776727	0.764
0.205	0.000735329	0.766
0.205	0.000696128	0.768
0.205	0.000659009	0.77
0.205	0.000623861	0.772
0.205	0.000590581	0.774
0.205	0.000559068	0.776
0.205	0.00052923	0.778
0.205	0.000500977	0.78
0.205	0.000474227	0.782
0.205	0.000448899	0.784
0.205	0.000424918	0.786
0.205	0.000402212	0.788
0.205	0.000380715	0.79
0.205	0.000360361	0.792
0.205	0.000341091	0.794
0.205	0.000322847	0.796
0.205	0.000305574	0.798
0.205	0.000289221	0.8
0.205	0.000273739	0.802
0.207	0.345999	0.54
0.207	0.328113	0.542
0.207	0.311151	0.544
0.207	0.295066	0.546
0.207	0.279811	0.548
0.207	0.265345	0.55
0.207	0.251626	0.552
0.207	0.238615	0.554
0.207	0.226277	0.556
0.207	0.214577	0.558
0.207	0.203481	0.56
0.207	0.192958	0.562
0.207	0.182979	0.564
0.207	0.173516	0.566
0.207	0.164541	0.568
0.207	0.156031	0.57
0.207	0.14796	0.572
0.207	0.140306	0.574
0.207	0.133048	0.576
0.207	0.126164	0.578
0.207	0.119637	0.58
0.207	0.113447	0.582
0.207	0.107576	0.584
0.207	0.10201	0.586
0.207	0.0967305	0.588
0.207	0.0917242	0.59
0.207	0.0869768	0.592
0.207	0.0824747	0.594
0.207	0.0782054	0.596
0.207	0.0741567	0.598
0.207	0.0703174	0.6
0.207	0.0666766	0.602
0.207	0.063224	0.604
0.207	0.0599499	0.606
0.207	0.0568452	0.608
0.207	0.0539009	0.61
0.207	0.051109	0.612
0.207	0.0484614	0.614
0.207	0.0459508	0.616
0.207	0.04357	0.618
0.207	0.0413124	0.62
0.207	0.0391715	0.622
0.207	0.0371414	0.624
0.207	0.0352164	0.626
0.207	0.0333909	0.628
0.207	0.0316599	0.63
0.207	0.0300184	0.632
0.207	0.0284619	0.634
0.207	0.026986	0.636
0.207	0.0255864	0.638
0.207	0.0242593	0.64
0.207	0.0230009	0.642
0.207	0.0218077	0.644
0.207	0.0206762	0.646
0.207	0.0196033	0.648
0.207	0.0185859	0.65
0.207	0.0176213	0.652
0.207	0.0167066	0.654
0.207	0.0158393	0.656
0.207	0.0150169	0.658
0.207	0.0142371	0.66
0.207	0.0134977	0.662
0.207	0.0127966	0.664
0.207	0.0121318	0.666
0.207	0.0115015	0.668
0.207	0.0109039	0.67
0.207	0.0103373	0.672
0.207	0.00979998	0.674
0.207	0.00929055	0.676
0.207	0.00880754	0.678
0.207	0.00834958	0.68
0.207	0.00791537	0.682
0.207	0.00750368	0.684
0.207	0.00711334	0.686
0.207	0.00674326	0.688
0.207	0.00639238	0.69
0.207	0.0060597	0.692
0.207	0.00574429	0.694
0.207	0.00544526	0.696
0.207	0.00516174	0.698
0.207	0.00489294	0.7
0.207	0.00463811	0.702
0.207	0.0043965	0.704
0.207	0.00416744	0.706
0.207	0.00395028	0.708
0.207	0.00374441	0.71
0.207	0.00354922	0.712
0.207	0.00336419	0.714
0.207	0.00318876	0.716
0.207	0.00302246	0.718
0.207	0.0028648	0.72
0.207	0.00271534	0.722
0.207	0.00257365	0.724
0.207	0.00243933	0.726
0.207	0.002312	0.728
0.207	0.00219129	0.73
0.207	0.00207686	0.732
0.207	0.00196839	0.734
0.207	0.00186556	0.736
0.207	0.00176809	0.738
0.207	0.00167569	0.74
0.207	0.0015881	0.742
0.207	0.00150507	0.744
0.207	0.00142637	0.746
0.207	0.00135177	0.748
0.207	0.00128106	0.75
0.207	0.00121403	0.752
0.207	0.00115049	0.754
0.207	0.00109027	0.756
0.207	0.00103319	0.758
0.207	0.000979083	0.76
0.207	0.0009278	0.762
0.207	0.000879192	0.764
0.207	0.000833121	0.766
0.207	0.000789454	0.768
0.207	0.000748067	0.77
0.207	0.000708841	0.772
0.207	0.000671663	0.774
0.207	0.000636426	0.776
0.207	0.000603031	0.778
0.207	0.00057138	0.78
0.207	0.000541384	0.782
0.207	0.000512955	0.784
0.207	0.000486013	0.786
0.207	0.00046048	0.788
0.207	0.000436282	0.79
0.207	0.00041335	0.792
0.207	0.000391618	0.794
0.207	0.000371023	0.796
0.207	0.000351507	0.798
0.207	0.000333012	0.8
0.207	0.000315486	0.802
0.209	0.352347	0.54
0.209	0.334436	0.542
0.209	0.317436	0.544
0.209	0.301299	0.546
0.209	0.285983	0.548
0.209	0.271444	0.55
0.209	0.257644	0.552
0.209	0.244544	0.554
0.209	0.232111	0.556
0.209	0.220309	0.558
0.209	0.209107	0.56
0.209	0.198473	0.562
0.209	0.18838	0.564
0.209	0.1788	0.566
0.209	0.169707	0.568
0.209	0.161075	0.57
0.209	0.152882	0.572
0.209	0.145106	0.574
0.209	0.137724	0.576
0.209	0.130718	0.578
0.209	0.124068	0.58
0.209	0.117756	0.582
0.209	0.111764	0.584
0.209	0.106077	0.586
0.209	0.100679	0.588
0.209	0.0955552	0.59
0.209	0.090692	0.592
0.209	0.0860759	0.594
0.209	0.0816945	0.596
0.209	0.0775358	0.598
0.209	0.0735885	0.6
0.209	0.0698418	0.602
0.209	0.0662857	0.604
0.209	0.0629103	0.606
0.209	0.0597066	0.608
0.209	0.0566657	0.61
0.209	0.0537795	0.612
0.209	0.0510401	0.614
0.209	0.0484399	0.616
0.209	0.045972	0.618
0.209	0.0436297	0.62
0.209	0.0414064	0.622
0.209	0.0392963	0.624
0.209	0.0372935	0.626
0.209	0.0353926	0.628
0.209	0.0335884	0.63
0.209	0.031876	0.632
