RUNID 	DATESTART	see_oh1 [e/pxl]	occ_oh1 [e/pxl]	see_oh2 [e/pxl]	occ_oh2 [e/pxl]	see_oh3 [e/pxl]	occ_oh3 [e/pxl]	see_oh4 [e/pxl]	occ_oh4 [e/pxl]	lamb_1_ovx [e/pxl]	err_lamb_1_ovx [e/pxl] 	lamb_2_ovx [e/pxl]	err_lamb_2_ovx [e/pxl] 	RN_1_ovx [e]	err_RN_1_ovx [e]	RN_2_ovx [e] 	err_RN_2_ovx [e] 	lamb_1_ovy [e/pxl]	err_lamb_1_ovy [e/pxl] 	lamb_2_ovy [e/pxl]	err_lamb_2_ovy [e/pxl] image_duration [day] exposure_active_area [day] exposure OVX [day] exposure OVY [day] 
235     	2025-02-24T18:35:49	0.00341983	0.00936183	0.00660846	0.0206331	0.00992583	0.0294678	0.0132695	0.0392775	0.00485602	0.00098646	0.00786331	0.000862552	0.226749	0.00199524	0.219323	0.00140311	0.188549	0.00545319	0.198177	0.0039001	0.0373148	0.0173684	6.50889e-05	0.0173999
237     	2025-02-24T19:39:39	0.00341917	0.00967522	0.00666109	0.0211664	0.00993072	0.0308045	0.0131754	0.0399355	0.00706167	0.00118503	0.00867082	0.000891493	0.230599	0.00210664	0.220261	0.00142097	0.186175	0.00538139	0.195352	0.00384582	0.0373148	0.0173684	6.50889e-05	0.0173999
239     	2025-02-24T20:43:30	0.00345908	0.009441	0.00658374	0.0205875	0.00970712	0.0302504	0.0131045	0.0391376	0.0050047	0.00103089	0.00617087	0.000756055	0.228047	0.00200427	0.221445	0.00140015	0.181771	0.00525882	0.191889	0.00377417	0.0373148	0.0173684	6.50889e-05	0.0173999
241     	2025-02-24T21:47:21	0.00342048	0.00981327	0.00654886	0.0212532	0.00976332	0.0300591	0.0131045	0.0394877	0.00678668	0.00112542	0.00757269	0.000814436	0.226573	0.00201494	0.217221	0.0013776	0.166913	0.00496819	0.18494	0.00369502	0.0373148	0.0173684	6.50889e-05	0.0173999
243     	2025-02-24T22:51:11	0.00334655	0.00961634	0.00653872	0.0211296	0.00978165	0.0306365	0.0130501	0.0400619	0.00474021	0.000971927	0.0071161	0.000803206	0.224643	0.00193954	0.218151	0.00139169	0.185455	0.00536194	0.19025	0.00378182	0.0373148	0.0173684	6.50889e-05	0.0173999
245     	2025-02-24T23:55:02	0.00349768	0.00979299	0.00660276	0.0217382	0.00972972	0.0309456	0.0130483	0.0405226	0.00379437	0.000858785	0.00571872	0.000714383	0.228644	0.00197313	0.22013	0.00137543	0.176975	0.00521871	0.190616	0.00379588	0.0373148	0.0173684	6.50889e-05	0.0173999
247     	2025-02-25T00:58:53	0.00344731	0.00940959	0.0065793	0.0208126	0.00980548	0.0303603	0.0131528	0.0392958	0.00445937	0.000935726	0.00566182	0.000716782	0.230583	0.00208944	0.220466	0.00138105	0.18028	0.00525395	0.191006	0.00376918	0.0373148	0.0173684	6.50889e-05	0.0173999
249     	2025-02-25T02:02:43	0.00342179	0.00930949	0.00655013	0.0208829	0.00975477	0.0301331	0.0130697	0.0393795	0.00305737	0.000769232	0.00470047	0.000655117	0.223712	0.00193137	0.217182	0.00136355	0.172327	0.00512001	0.186735	0.00371551	0.0373148	0.0173684	6.50889e-05	0.0173999
251     	2025-02-25T03:06:34	0.00338057	0.00953456	0.00654886	0.0210161	0.00968879	0.0309969	0.0129512	0.0408024	0.00367736	0.000854614	0.00648402	0.000772377	0.231375	0.00215321	0.222108	0.00143508	0.175178	0.00515503	0.185941	0.00370858	0.0373148	0.0173684	6.50889e-05	0.0173999
253     	2025-02-25T04:10:25	0.00340543	0.00943904	0.00661734	0.0206071	0.00976882	0.0295698	0.0130727	0.0379658	0.00659908	0.00117642	0.00591746	0.000730836	0.22182	0.00178441	0.218505	0.00132695	0.183637	0.0054505	0.190911	0.00382116	0.0373148	0.0173684	6.50889e-05	0.0173999
